iter	Passed	Remaining
278	3106	8027
279	3115	8012
280	3125	7997
281	3135	7982
282	3145	7968
283	3155	7954
284	3164	7939
285	3173	7923
286	3183	7909
287	3193	7894
288	3202	7878
289	3212	7864
290	3222	7851
291	3232	7838
292	3242	7825
293	3252	7809
294	3261	7794
295	3271	7780
296	3281	7767
297	3292	7755
298	3301	7741
299	3311	7725
300	3319	7709
301	3329	7694
302	3338	7679
303	3347	7664
304	3357	7650
305	3366	7635
306	3375	7620
307	3385	7606
308	3396	7596
309	3406	7581
310	3415	7566
311	3424	7552
312	3433	7537
313	3445	7527
314	3455	7513
315	3463	7497
316	3473	7483
317	3483	7470
318	3492	7456
319	3502	7443
320	3512	7430
321	3523	7418
322	3532	7404
323	3542	7390
324	3552	7378
325	3561	7364
326	3572	7351
327	3581	7338
328	3591	7324
329	3600	7310
330	3610	7296
331	3619	7283
332	3629	7269
333	3638	7255
334	3649	7244
335	3658	7229
336	3667	7215
337	3676	7201
338	3687	7190
339	3697	7176
340	3706	7163
341	3716	7150
342	3725	7136
343	3736	7124
344	3746	7112
345	3755	7098
346	3765	7086
347	3774	7071
348	3783	7057
349	3794	7046
350	3804	7034
351	3814	7022
352	3824	7009
353	3834	6997
354	3845	6985
355	3853	6971
356	3864	6960
357	3874	6947
358	3883	6933
359	3892	6920
360	3902	6908
361	3912	6895
362	3922	6882
363	3931	6869
364	3941	6857
365	3951	6844
366	3961	6831
367	3971	6819
368	3981	6807
369	3990	6795
370	4000	6782
371	4010	6770
372	4020	6757
373	4030	6745
374	4039	6732
375	4049	6720
376	4059	6709
377	4069	6697
378	4079	6685
379	4089	6672
380	4099	6659
381	4107	6645
382	4117	6633
383	4127	6620
384	4137	6609
385	4146	6596
386	4157	6585
387	4168	6574
388	4177	6561
389	4187	6549
390	4197	6537
391	4206	6525
392	4216	6512
393	4225	6499
394	4236	6488
395	4245	6475
396	4255	6463
397	4265	6451
398	4275	6440
399	4285	6428
400	4295	6417
401	4305	6404
402	4315	6392
403	4324	6379
404	4333	6366
405	4343	6354
406	4353	6342
407	4363	6331
408	4373	6320
409	4382	6306
410	4393	6295
411	4402	6283
412	4412	6271
413	4422	6259
414	4433	6249
415	4443	6238
416	4453	6226
417	4463	6214
418	4474	6204
419	4484	6192
420	4493	6180
421	4504	6170
422	4514	6158
423	4524	6146
424	4534	6135
425	4545	6124
426	4555	6113
427	4565	6101
428	4575	6090
429	4586	6079
430	4596	6067
431	4605	6055
432	4615	6043
433	4624	6031
434	4634	6019
435	4644	6007
436	4653	5995
437	4662	5983
438	4672	5970
439	4681	5958
440	4692	5947
441	4702	5936
442	4712	5924
443	4722	5913
444	4731	5901
445	4742	5890
446	4751	5878
447	4761	5867
448	4770	5854
449	4780	5843
450	4791	5832
451	4801	5821
452	4812	5811
453	4822	5799
454	4832	5788
455	4841	5776
456	4850	5763
457	4861	5752
458	4870	5740
459	4881	5729
460	4890	5718
461	4899	5705
462	4910	5694
463	4919	5682
464	4928	5670
465	4939	5659
466	4949	5649
467	4960	5638
468	4969	5626
469	4980	5615
470	4989	5604
471	4999	5592
472	5009	5581
473	5019	5570
474	5030	5560
475	5040	5548
476	5049	5536
477	5058	5523
478	5067	5511
479	5077	5500
480	5086	5488
481	5095	5476
482	5105	5465
483	5115	5454
484	5125	5442
485	5134	5430
486	5144	5419
487	5154	5408
488	5164	5396
489	5173	5384
490	5183	5373
491	5192	5361
492	5204	5351
493	5213	5339
494	5223	5329
495	5232	5317
496	5242	5305
497	5252	5294
498	5262	5283
499	5272	5272
500	5282	5261
501	5292	5250
502	5302	5238
503	5311	5227
504	5321	5216
505	5330	5204
506	5340	5193
507	5350	5181
508	5359	5170
509	5369	5159
510	5379	5148
511	5389	5137
512	5399	5125
513	5408	5113
514	5418	5102
515	5427	5090
516	5437	5080
517	5449	5070
518	5459	5059
519	5468	5048
520	5478	5036
521	5489	5026
522	5499	5015
523	5509	5004
524	5519	4993
525	5529	4982
526	5539	4971
527	5548	4960
528	5558	4949
529	5569	4938
530	5579	4927
531	5588	4916
532	5598	4905
533	5607	4893
534	5616	4881
535	5626	4871
536	5636	4859
537	5647	4849
538	5656	4838
539	5665	4826
540	5676	4816
541	5686	4805
542	5695	4793
543	5705	4782
544	5715	4771
545	5725	4760
546	5735	4749
547	5745	4738
548	5755	4728
549	5764	4716
550	5775	4706
551	5784	4694
552	5794	4683
553	5803	4672
554	5813	4661
555	5823	4650
556	5833	4639
557	5843	4628
558	5852	4616
559	5862	4605
560	5872	4595
561	5880	4583
562	5889	4571
563	5899	4560
564	5908	4549
565	5919	4538
566	5929	4528
567	5938	4516
568	5948	4505
569	5957	4494
570	5967	4483
571	5976	4472
572	5987	4461
573	5997	4450
574	6008	4441
575	6018	4430
576	6029	4419
577	6038	4408
578	6048	4397
579	6058	4386
580	6068	4376
581	6078	4365
582	6088	4354
583	6099	4344
584	6109	4333
585	6119	4323
586	6128	4311
587	6138	4301
588	6148	4290
589	6158	4279
590	6168	4268
591	6177	4257
592	6187	4247
593	6197	4236
594	6207	4225
595	6216	4213
596	6225	4202
597	6234	4190
598	6243	4179
599	6253	4168
600	6262	4157
601	6272	4147
602	6281	4135
603	6290	4124
604	6300	4113
605	6310	4102
606	6319	4091
607	6330	4081
608	6339	4070
609	6348	4059
610	6358	4048
611	6368	4037
612	6378	4026
613	6388	4016
614	6399	4005
615	6409	3995
616	6419	3984
617	6428	3973
618	6439	3963
619	6449	3952
620	6460	3942
621	6469	3931
622	6478	3920
623	6488	3909
624	6498	3899
625	6508	3888
626	6516	3876
627	6526	3865
628	6536	3855
629	6546	3844
630	6556	3834
631	6565	3823
632	6576	3812
633	6586	3802
634	6595	3791
635	6606	3781
636	6616	3770
637	6626	3759
638	6635	3748
639	6645	3738
640	6655	3727
641	6665	3716
642	6675	3706
643	6685	3695
644	6694	3684
645	6704	3673
646	6714	3663
647	6724	3652
648	6734	3642
649	6743	3631
650	6754	3621
651	6764	3610
652	6774	3599
653	6784	3589
654	6793	3578
655	6803	3567
656	6814	3557
657	6823	3546
658	6833	3535
659	6844	3525
660	6854	3515
661	6864	3504
662	6874	3494
663	6883	3483
664	6892	3472
665	6902	3461
666	6912	3451
667	6923	3440
668	6932	3430
669	6942	3419
670	6953	3409
671	6962	3398
672	6973	3388
673	6982	3377
674	6993	3367
675	7002	3356
676	7012	3345
677	7023	3335
678	7033	3324
679	7043	3314
680	7053	3304
681	7063	3293
682	7074	3283
683	7084	3272
684	7094	3262
685	7104	3251
686	7114	3241
687	7124	3230
688	7134	3220
689	7144	3209
690	7153	3198
691	7163	3188
692	7174	3178
693	7184	3167
694	7195	3157
695	7205	3147
696	7216	3136
697	7226	3126
698	7235	3115
699	7245	3105
700	7256	3095
701	7266	3084
702	7276	3073
703	7285	3063
704	7296	3052
705	7305	3042
706	7315	3031
707	7324	3021
708	7334	3010
709	7344	2999
710	7353	2988
711	7362	2978
712	7372	2967
713	7382	2957
714	7393	2946
715	7402	2936
716	7411	2925
717	7421	2914
718	7433	2905
719	7444	2895
720	7455	2884
721	7464	2874
722	7474	2863
723	7484	2853
724	7493	2842
725	7504	2832
726	7514	2821
727	7524	2811
728	7534	2800
729	7544	2790
730	7554	2779
731	7564	2769
732	7573	2758
733	7584	2748
734	7595	2738
735	7606	2728
736	7616	2718
737	7627	2707
738	7637	2697
739	7647	2687
740	7658	2676
741	7669	2666
742	7679	2656
743	7690	2646
744	7700	2635
745	7710	2625
746	7720	2614
747	7730	2604
748	7739	2593
749	7749	2583
750	7758	2572
751	7768	2562
752	7779	2551
753	7789	2541
754	7799	2531
755	7808	2520
756	7819	2509
757	7829	2499
758	7838	2488
759	7848	2478
760	7858	2468
761	7869	2457
762	7879	2447
763	7889	2436
764	7898	2426
765	7909	2416
766	7919	2405
767	7929	2395
768	7939	2384
769	7948	2374
770	7959	2363
771	7969	2353
772	7981	2343
773	7991	2333
774	8001	2323
775	8011	2312
776	8021	2302
777	8031	2291
778	8042	2281
779	8053	2271
780	8062	2260
781	8073	2250
782	8082	2239
783	8093	2229
784	8103	2219
785	8114	2209
786	8123	2198
787	8133	2188
788	8143	2177
789	8154	2167
790	8164	2157
791	8175	2146
792	8184	2136
793	8194	2126
794	8204	2115
795	8214	2105
796	8226	2095
797	8235	2084
798	8245	2074
799	8255	2063
800	8265	2053
801	8275	2043
802	8285	2032
803	8293	2021
804	8303	2011
805	8313	2000
806	8324	1990
807	8334	1980
808	8344	1970
809	8354	1959
810	8364	1949
811	8374	1938
812	8383	1928
813	8393	1918
814	8404	1907
815	8414	1897
816	8423	1886
817	8434	1876
818	8445	1866
819	8455	1856
820	8465	1845
821	8474	1835
822	8484	1824
823	8494	1814
824	8504	1804
825	8515	1793
826	8524	1783
827	8534	1772
828	8544	1762
829	8554	1752
830	8564	1741
831	8574	1731
832	8584	1721
833	8594	1710
834	8604	1700
835	8614	1689
836	8624	1679
837	8634	1669
838	8644	1658
839	8653	1648
840	8663	1637
841	8673	1627
842	8684	1617
843	8694	1607
844	8705	1596
845	8715	1586
846	8725	1576
847	8734	1565
848	8744	1555
849	8755	1545
850	8764	1534
851	8774	1524
852	8784	1513
853	8795	1503
854	8805	1493
855	8815	1482
856	8824	1472
857	8833	1462
858	8843	1451
859	8853	1441
860	8863	1430
861	8873	1420
862	8883	1410
863	8893	1399
864	8903	1389
865	8914	1379
866	8924	1369
867	8934	1358
868	8943	1348
869	8954	1338
870	8964	1327
871	8974	1317
872	8984	1307
873	8993	1296
874	9003	1286
875	9014	1275
876	9024	1265
877	9034	1255
878	9045	1245
879	9055	1234
880	9065	1224
881	9075	1214
882	9084	1203
883	9094	1193
884	9105	1183
885	9115	1172
886	9126	1162
887	9135	1152
888	9147	1142
889	9157	1131
890	9167	1121
891	9176	1111
892	9186	1100
893	9195	1090
894	9205	1080
895	9216	1069
896	9225	1059
897	9235	1049
898	9245	1038
899	9256	1028
900	9267	1018
901	9276	1007
902	9287	997
903	9297	987
904	9306	976
905	9317	966
906	9326	956
907	9336	945
908	9346	935
909	9357	925
910	9367	915
911	9377	904
912	9387	894
913	9397	884
914	9409	874
915	9419	863
916	9429	853
917	9438	843
918	9449	832
919	9459	822
920	9469	812
921	9480	802
922	9491	791
923	9500	781
924	9511	771
925	9520	760
926	9530	750
927	9540	740
928	9549	729
929	9559	719
930	9569	709
931	9580	698
932	9590	688
933	9600	678
934	9611	668
935	9621	657
936	9632	647
937	9642	637
938	9652	627
939	9662	616
940	9672	606
941	9682	596
942	9692	585
943	9702	575
944	9712	565
945	9722	554
946	9732	544
947	9742	534
948	9751	524
949	9761	513
950	9771	503
951	9781	493
952	9791	482
953	9801	472
954	9811	462
955	9821	452
956	9831	441
957	9841	431
958	9852	421
959	9861	410
960	9872	400
961	9882	390
962	9892	380
963	9916	370
964	9927	360
965	9937	349
966	9947	339
967	9958	329
968	9968	318
969	9978	308
970	9987	298
971	9996	287
972	10006	277
973	10016	267
974	10026	257
975	10035	246
976	10045	236
977	10054	226
978	10065	215
979	10074	205
980	10084	195
981	10094	185
982	10105	174
983	10115	164
984	10124	154
985	10134	143
986	10143	133
987	10153	123
988	10163	113
989	10172	102
990	10182	92
991	10191	82
992	10201	71
993	10210	61
994	10220	51
995	10229	41
996	10239	30
997	10249	20
998	10259	10
999	10268	0
