iter	MultiClass
554	0.8941731082
555	0.8940218235
556	0.8938724137
557	0.8935773004
558	0.8934982107
559	0.8933609761
560	0.8931773284
561	0.8931212115
562	0.8930175967
563	0.8928840583
564	0.8927788566
565	0.8925943352
566	0.8924304656
567	0.8923318864
568	0.8921926728
569	0.8920891884
570	0.8920148485
571	0.8919137505
572	0.8917017509
573	0.8916152959
574	0.8914537389
575	0.8913854897
576	0.891192785
577	0.8910129625
578	0.8909465758
579	0.8908105247
580	0.8907681426
581	0.8905597791
582	0.8903850666
583	0.890261023
584	0.8901743826
585	0.8899940745
586	0.8898709171
587	0.8897098243
588	0.8896296566
589	0.8895498724
590	0.8893551703
591	0.8891417466
592	0.8890525935
593	0.888899817
594	0.8888353881
595	0.8886777166
596	0.8884824676
597	0.8883913407
598	0.888320504
599	0.8881411927
600	0.8880489458
601	0.8878705255
602	0.8878090342
603	0.8876177157
604	0.8875069996
605	0.8874131526
606	0.8872242625
607	0.8870362873
608	0.8869741131
609	0.8868792112
610	0.8867370572
611	0.8865192176
612	0.8864406385
613	0.8862945066
614	0.8862001448
615	0.8860559325
616	0.885810303
617	0.8857114709
618	0.8855836552
619	0.8854104972
620	0.8852969871
621	0.8852067073
622	0.8850711191
623	0.8849819127
624	0.8848430623
625	0.8847550231
626	0.8846868278
627	0.884414761
628	0.8842603285
629	0.8840177723
630	0.8838621632
631	0.8837143926
632	0.8836029702
633	0.8835376688
634	0.8834303575
635	0.8832468115
636	0.8831852775
637	0.8830290228
638	0.8829630436
639	0.8827934044
640	0.8826770975
641	0.8825289011
642	0.8823812784
643	0.8822332228
644	0.8821411729
645	0.882018474
646	0.8817984175
647	0.88171094
648	0.8816033029
649	0.8814892843
650	0.8813410351
651	0.8812850284
652	0.8810684682
653	0.8809157361
654	0.8808334848
655	0.880662688
656	0.880480434
657	0.8804076674
658	0.880301465
659	0.8801550342
660	0.8799654064
661	0.8798566366
662	0.8797699838
663	0.8797294531
664	0.8795991668
665	0.8794517951
666	0.8793605673
667	0.8792476414
668	0.8790705121
669	0.8789438903
670	0.8787689869
671	0.878678779
672	0.8785540136
673	0.8784246515
674	0.8783549523
675	0.8782666822
676	0.8781594179
677	0.8780686196
678	0.8779946647
679	0.8777574744
680	0.8775714258
681	0.8773260181
682	0.8771802892
683	0.8770264179
684	0.8768697729
685	0.8767037853
686	0.876658118
687	0.8765938863
688	0.8763779726
689	0.8762726751
690	0.8761133885
691	0.8759796568
692	0.8758018338
693	0.8756969865
694	0.8754788102
695	0.8753262814
696	0.8751462716
697	0.8749995502
698	0.8748393589
699	0.8746407719
700	0.8744507534
701	0.874354045
702	0.8741636384
703	0.8740365874
704	0.8739275832
705	0.8736780398
706	0.8736013634
707	0.8735351194
708	0.873360947
709	0.8732002113
710	0.8731228415
711	0.8729712675
712	0.8728112221
713	0.8726798298
714	0.8724197793
715	0.8723283043
716	0.8722449438
717	0.8721018163
718	0.8718862067
719	0.8716479336
720	0.8715100853
721	0.8713646608
722	0.8712774516
723	0.8711677619
724	0.8710612737
725	0.8709240584
726	0.8707281707
727	0.8706167374
728	0.8704657112
729	0.8703358415
730	0.8701490308
731	0.8700362134
732	0.8699656918
733	0.8698555705
734	0.869710553
735	0.8695748958
736	0.8694762272
737	0.8693075418
738	0.8692212987
739	0.8690396953
740	0.8688802166
741	0.8686952046
742	0.8686243637
743	0.8685721876
744	0.8684772201
745	0.8683447118
746	0.8681853453
747	0.8681013352
748	0.8680172518
749	0.8678687561
750	0.8677560595
751	0.8675856641
752	0.8674870931
753	0.8673606449
754	0.8671768053
755	0.8670969673
756	0.8669355544
757	0.8668307579
758	0.8667568282
759	0.8666181246
760	0.8664696151
761	0.8663517762
762	0.8662248435
763	0.8660915429
764	0.865985078
765	0.8658152893
766	0.8656806773
767	0.8655885056
768	0.8654459372
769	0.8654065115
770	0.8652941976
771	0.8651208365
772	0.8649793776
773	0.8648518068
774	0.864764097
775	0.8646664885
776	0.8645033713
777	0.8643663547
778	0.8641670927
779	0.8640343281
780	0.8639175732
781	0.8638028735
782	0.8637151737
783	0.8635983118
784	0.8634087512
785	0.8632362351
786	0.8631001615
787	0.8629897148
788	0.862835155
789	0.8627360657
790	0.8625842742
791	0.8623353332
792	0.8622708927
793	0.8621249795
794	0.8620006082
795	0.8619054655
796	0.8617532421
797	0.8615619566
798	0.8614713346
799	0.8613458981
800	0.8612250585
801	0.8611021901
802	0.8610347038
803	0.8609718214
804	0.860875518
805	0.8607711011
806	0.8605675051
807	0.8603863875
808	0.8602177323
809	0.8601591584
810	0.8600065508
811	0.8598643831
812	0.8597354133
813	0.8596700691
814	0.8595282691
815	0.8594882084
816	0.8593915222
817	0.8592403733
818	0.8591387204
819	0.8590347069
820	0.8589239106
821	0.8587882546
822	0.8587420178
823	0.8586421557
824	0.8585063945
825	0.8583677523
826	0.8583107022
827	0.8582546379
828	0.8581956436
829	0.8580900083
830	0.857935932
831	0.8578665008
832	0.8577374753
833	0.857636859
834	0.8574591075
835	0.8573436266
836	0.8571909209
837	0.857022441
838	0.8569440473
839	0.8568695818
840	0.8567729986
841	0.8566297585
842	0.8564859471
843	0.8563192391
844	0.856144138
845	0.8559898705
846	0.8558417791
847	0.8557154643
848	0.8555391578
849	0.8553657277
850	0.8552645186
851	0.855176519
852	0.8550050855
853	0.8548645029
854	0.8547669587
855	0.8545638579
856	0.8545191692
857	0.854463872
858	0.8543242662
859	0.8541785771
860	0.8539714803
861	0.8538789451
862	0.8537878137
863	0.8536099338
864	0.8534322912
865	0.8533093314
866	0.8531903621
867	0.8530526687
868	0.8529286958
869	0.8528320062
870	0.8527058907
871	0.8525845122
872	0.8524068998
873	0.8523496607
874	0.8522736589
875	0.8520284474
876	0.8518191232
877	0.8517116483
878	0.8516223886
879	0.8514141638
880	0.8512427662
881	0.8511536605
882	0.851094352
883	0.8509998316
884	0.8508961337
885	0.8507499924
886	0.8506444707
887	0.8504988913
888	0.850287734
889	0.8502213781
890	0.8501533859
891	0.8500332695
892	0.8498923266
893	0.849848792
894	0.8496941754
895	0.849591327
896	0.8494668947
897	0.8493170771
898	0.8491808802
899	0.8490963752
900	0.8489510685
901	0.8488327123
902	0.848708932
903	0.8486028185
904	0.8484413488
905	0.8483311719
906	0.8481915131
907	0.8481042877
908	0.8478574268
909	0.8476996692
910	0.8475406602
911	0.8474916315
912	0.8473474795
913	0.8472405191
914	0.8471584468
915	0.8471066
916	0.8469483217
917	0.8468621038
918	0.8467455189
919	0.8465803719
920	0.8463905476
921	0.8463265439
922	0.8462040076
923	0.8461404234
924	0.8460341758
925	0.8459659715
926	0.8458697241
927	0.845776463
928	0.8456534629
929	0.8455520455
930	0.8454212891
931	0.8452233667
932	0.8451312975
933	0.8449944794
934	0.8448478691
935	0.8447223463
936	0.8446547908
937	0.8445068314
938	0.8444465617
939	0.8442732573
940	0.8441552209
941	0.8439289368
942	0.8437508661
943	0.8435989827
944	0.8435011278
945	0.8433810218
946	0.8432669132
947	0.843110183
948	0.8430426095
949	0.8429640729
950	0.8427926743
951	0.842683936
952	0.8426161008
953	0.8424727465
954	0.8424471896
955	0.8422765452
956	0.8420433881
957	0.841916527
958	0.8417385565
959	0.8416350339
960	0.8414931701
961	0.8413592143
962	0.8412526125
963	0.8411466679
964	0.8409278697
965	0.8407818423
966	0.8405973295
967	0.8404019582
968	0.8402724633
969	0.8402025882
970	0.8400464397
971	0.8399078433
972	0.8398197178
973	0.8396761169
974	0.8395982305
975	0.8395312785
976	0.8394083409
977	0.8393151279
978	0.8392772801
979	0.8391425703
980	0.8390178417
981	0.8389141153
982	0.8388279247
983	0.8387403003
984	0.838611567
985	0.8384763553
986	0.838407832
987	0.838186738
988	0.8380612305
989	0.8379793597
990	0.8378582799
991	0.8378155403
992	0.8377199422
993	0.8376030506
994	0.8375023506
995	0.8374023013
996	0.8373028148
997	0.8371893029
998	0.8370910957
999	0.8369587017
